# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
8.210000000000000E+007;-8.080207167640815E-001;-3.348549666807019E-001;
8.212500000000000E+007;-8.026069998417749E-001;-3.531865251877255E-001;
8.215000000000000E+007;-8.111741241196614E-001;-3.127896605354788E-001;
8.217500000000000E+007;-8.035035203516879E-001;-3.361543075781894E-001;
8.220000000000000E+007;-8.081908452090566E-001;-3.044362770289049E-001;
8.222500000000000E+007;-8.036342500386040E-001;-3.241295102693329E-001;
8.225000000000000E+007;-8.097941850218915E-001;-2.761673173794247E-001;
8.227500000000000E+007;-8.040371504767779E-001;-3.052930897359111E-001;
8.230000000000000E+007;-8.091884789278575E-001;-2.725276891377408E-001;
8.232500000000000E+007;-8.068788912875904E-001;-2.774617859867398E-001;
8.235000000000000E+007;-8.056794936290941E-001;-2.648066409515526E-001;
8.237500000000000E+007;-8.065121987595182E-001;-2.502843199660626E-001;
8.240000000000000E+007;-8.059219622038285E-001;-2.664728464413898E-001;
8.242500000000000E+007;-8.010948522875366E-001;-2.687652424360338E-001;
8.245000000000000E+007;-7.976877830235456E-001;-2.548551574980805E-001;
8.247500000000000E+007;-8.005828773255151E-001;-2.405092649761449E-001;
8.250000000000000E+007;-7.981837156882570E-001;-2.373763390467768E-001;
8.252500000000000E+007;-7.985643716330527E-001;-2.212259195486750E-001;
8.255000000000000E+007;-7.953387090696797E-001;-2.099756356503203E-001;
8.257500000000000E+007;-7.971158341057927E-001;-1.611963451267110E-001;
8.260000000000000E+007;-7.905219944196301E-001;-2.060138644863618E-001;
8.262500000000000E+007;-7.887700709618666E-001;-1.821996927951526E-001;
8.265000000000000E+007;-7.876729865060234E-001;-1.671676736421804E-001;
8.267500000000000E+007;-7.822369390354489E-001;-1.679289326520574E-001;
8.270000000000000E+007;-7.779929880111480E-001;-1.494588826953248E-001;
8.272500000000000E+007;-7.734195062506499E-001;-1.643986836557505E-001;
8.275000000000000E+007;-7.697722197367838E-001;-1.386856942807279E-001;
8.277500000000000E+007;-7.654239395136741E-001;-1.416871378144466E-001;
8.280000000000000E+007;-7.595846300318131E-001;-1.111268104840752E-001;
8.282500000000000E+007;-7.502712686305569E-001;-9.760472317083710E-002;
8.285000000000000E+007;-7.441906175464459E-001;-8.513414587082115E-002;
8.287500000000000E+007;-7.356527247365158E-001;-5.886381489733335E-002;
8.290000000000000E+007;-7.273781203486873E-001;-5.623385633156926E-002;
8.292500000000000E+007;-7.166423490614676E-001;-4.495230418406720E-002;
8.295000000000000E+007;-7.076625404302039E-001;-3.929636996449254E-002;
8.297500000000000E+007;-6.979678769629364E-001;-2.345398233332139E-002;
8.300000000000000E+007;-6.819244989666198E-001;-3.647068986471929E-003;
8.302500000000000E+007;-6.674196328681559E-001;9.846628375854320E-003;
8.305000000000000E+007;-6.484739678148093E-001;3.716250011431718E-002;
8.307500000000000E+007;-6.367951957387371E-001;3.982351203160488E-002;
8.310000000000000E+007;-6.156006100889411E-001;5.271765570775382E-002;
8.312500000000000E+007;-5.972565489125962E-001;6.049897095101160E-002;
8.315000000000000E+007;-5.733338034254889E-001;7.688364683285411E-002;
8.317500000000000E+007;-5.547978784321291E-001;6.905313603438432E-002;
8.320000000000000E+007;-5.234372311841208E-001;1.052632197527693E-001;
8.322500000000000E+007;-4.994158690801818E-001;1.062235183420127E-001;
8.325000000000000E+007;-4.680385315915700E-001;1.171644590400604E-001;
8.327500000000000E+007;-4.378126719387225E-001;1.246241376892072E-001;
8.330000000000000E+007;-4.085891230707397E-001;1.238384461520645E-001;
8.332500000000000E+007;-3.805431937901859E-001;1.136432294985920E-001;
8.335000000000000E+007;-3.355170492612398E-001;1.251944559085173E-001;
8.337500000000000E+007;-2.972187143019872E-001;1.240726931160759E-001;
8.340000000000000E+007;-2.649871203792018E-001;1.130308824331381E-001;
8.342500000000000E+007;-2.252763416575125E-001;1.033184684658750E-001;
8.345000000000000E+007;-1.940364615633592E-001;8.139876797119121E-002;
8.347500000000000E+007;-1.563012588626239E-001;6.633494105244840E-002;
8.350000000000000E+007;-1.177965068008509E-001;4.780515794084192E-002;
8.352500000000000E+007;-8.796495388484789E-002;2.526003699828690E-002;
8.355000000000000E+007;-5.668786083220973E-002;-6.912902892339172E-003;
8.357500000000000E+007;-2.920955411980059E-002;-3.881238953003569E-002;
8.360000000000000E+007;-5.707729830534200E-003;-7.409288439252211E-002;
8.362500000000000E+007;1.458724509771848E-002;-1.099076254179800E-001;
8.365000000000000E+007;2.937070263376048E-002;-1.472232863801426E-001;
8.367500000000000E+007;4.585174973153240E-002;-1.864122865790060E-001;
8.370000000000000E+007;5.821970224057575E-002;-2.228436669704559E-001;
8.372500000000000E+007;5.894752647156697E-002;-2.633801127874127E-001;
8.375000000000000E+007;6.176411380271310E-002;-3.022810193514932E-001;
8.377500000000000E+007;5.863769993848860E-002;-3.369377250583001E-001;
8.380000000000000E+007;5.691290218480444E-002;-3.727281709770743E-001;
8.382500000000000E+007;6.325262426461313E-002;-4.024281692254456E-001;
8.385000000000000E+007;4.735175656295703E-002;-4.366822701576740E-001;
8.387500000000000E+007;2.604612594880562E-002;-4.707824660315165E-001;
8.390000000000000E+007;2.479423099085609E-002;-4.983325172586642E-001;
