# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
8.090000000000000E+007;-7.733281831182954E-001;-4.767414618819184E-001;
8.100000000000000E+007;-7.750855284606819E-001;-4.692011779445337E-001;
8.110000000000000E+007;-7.723030028181313E-001;-4.794885808962827E-001;
8.120000000000000E+007;-7.815185419100231E-001;-4.580437904274762E-001;
8.130000000000000E+007;-7.768775491282217E-001;-4.673690349714686E-001;
8.140000000000000E+007;-7.870706199966889E-001;-4.429024450576056E-001;
8.150000000000000E+007;-8.012242707709156E-001;-3.921555691297639E-001;
8.160000000000000E+007;-7.860425862499036E-001;-4.317506241634887E-001;
8.170000000000000E+007;-7.994800228063205E-001;-3.881911857329051E-001;
8.180000000000000E+007;-7.963019942628759E-001;-4.026944466777647E-001;
8.190000000000000E+007;-7.960167412243983E-001;-3.914189414112441E-001;
8.200000000000000E+007;-8.008063215934760E-001;-3.610330696056841E-001;
8.210000000000000E+007;-8.029786391336997E-001;-3.479328123700491E-001;
8.220000000000000E+007;-8.049466797832179E-001;-3.136792641795710E-001;
8.230000000000000E+007;-8.006243779870413E-001;-3.151126457818734E-001;
8.240000000000000E+007;-8.062782988969039E-001;-2.419243203834690E-001;
8.250000000000000E+007;-7.954987923607817E-001;-2.537363579376238E-001;
8.260000000000000E+007;-7.895503531060745E-001;-2.276166760234785E-001;
8.270000000000000E+007;-7.781705954183189E-001;-1.795507112166284E-001;
8.280000000000000E+007;-7.589427545176052E-001;-1.494744244205601E-001;
8.290000000000000E+007;-7.331952894433087E-001;-7.660939171134079E-002;
8.300000000000000E+007;-6.906558018231455E-001;-1.394980572171174E-002;
8.310000000000000E+007;-6.262091017036026E-001;3.999430739292856E-002;
8.320000000000000E+007;-5.462397228622381E-001;6.744929017564620E-002;
8.330000000000000E+007;-4.323520160200570E-001;1.018342807976552E-001;
8.340000000000000E+007;-2.891870256203235E-001;1.057947618717129E-001;
8.350000000000000E+007;-1.423663698828525E-001;5.095052044853131E-002;
8.360000000000000E+007;-2.171023839663368E-002;-5.164216351957959E-002;
8.370000000000000E+007;4.637977398797277E-002;-2.040000248892225E-001;
8.380000000000000E+007;6.147973446536328E-002;-3.539451959579459E-001;
8.390000000000000E+007;3.065697447861751E-002;-4.835606994760926E-001;
